Time	EMG	Muscle Force
0	0	0.271154
0.001	0	0.271154
0.002	0	0.271154
0.003	0	0.271154
0.004	0	0.270786
0.005	0	0.270786
0.006	0	0.270786
0.007	0	0.270416
0.008	0	0.270416
0.009	0	0.270416
0.01	0	0.270046
0.011	0	0.270046
0.012	0	0.270046
0.013	0	0.269677
0.014	0	0.269677
0.015	0	0.269677
0.016	0	0.269307
0.017	0	0.269307
0.018	0	0.269307
0.019	0	0.268938
0.02	0	0.268938
0.021	0	0.268938
0.022	0	0.268938
0.023	0	0.268568
0.024	0	0.268568
0.025	0	0.268568
0.026	0	0.268568
0.027	0	0.268568
0.028	0	0.268199
0.029	0	0.268199
0.03	0	0.268199
0.031	0	0.268199
0.032	0	0.268199
0.033	0	0.268199
0.034	0	0.268199
0.035	0	0.26783
0.036	0	0.26783
0.037	0	0.26783
0.038	0	0.26783
0.039	0	0.26783
0.04	0	0.26783
0.041	0	0.26783
0.042	0	0.26783
0.043	0	0.26746
0.044	0	0.26746
0.045	0	0.26746
0.046	0	0.26746
0.047	0	0.26746
0.048	0	0.26746
0.049	0	0.26746
0.05	0	0.26746
0.051	0.0677822	0.26746
0.052	0.0609772	0.26746
0.053	-0.0184469	0.26746
0.054	-0.0479994	0.26746
0.055	0.00451929	0.26746
0.056	-0.0109877	0.26746
0.057	-0.0104799	0.26746
0.058	0.0231224	0.26746
0.059	0.0118767	0.26746
0.06	0.0133981	0.26746
0.061	-0.00250117	0.26746
0.062	-0.0550649	0.26746
0.063	-0.000721774	0.26746
0.064	0.0803266	0.26746
0.065	0.00809347	0.26746
0.066	-0.0440634	0.26746
0.067	-0.0311191	0.26746
0.068	-0.0820268	0.26746
0.069	0.0168045	0.26746
0.07	0.227673	0.26709
0.071	-0.00368278	0.26746
0.072	-0.166069	0.26709
0.073	-0.0744595	0.26709
0.074	0.0342166	0.26709
0.075	0.0988051	0.26709
0.076	0.0474199	0.26709
0.077	-0.0390567	0.26709
0.078	-0.0751897	0.26709
0.079	-0.00208007	0.26709
0.08	0.0181462	0.26709
0.081	0.0175094	0.26709
0.082	0.0276855	0.26709
0.083	0.027827	0.26709
0.084	-0.00418699	0.26709
0.085	-0.0480333	0.26709
0.086	-0.0160238	0.26709
0.087	-0.00384067	0.26709
0.088	-0.0294857	0.26709
0.089	0.00190316	0.26709
0.09	0.00545086	0.26709
0.091	0.0271175	0.26709
0.092	0.135313	0.26709
0.093	0.0617933	0.26709
0.094	-0.108481	0.26709
0.095	-0.155621	0.26709
0.096	-0.0805062	0.26709
0.097	0.0694454	0.26709
0.098	0.0748965	0.26709
0.099	0.064849	0.26709
0.1	0.0441808	0.26709
0.101	-0.0498395	0.26709
0.102	-0.0715075	0.26709
0.103	0.00273771	0.26709
0.104	0.025299	0.26709
0.105	0.0578659	0.26709
0.106	0.0310166	0.26709
0.107	-0.0618486	0.26709
0.108	-0.105539	0.26746
0.109	-0.0309544	0.26709
0.11	0.0335445	0.26746
0.111	0.100045	0.26746
0.112	0.0657975	0.26709
0.113	-0.0189195	0.26709
0.114	-0.0266984	0.26746
0.115	-0.034147	0.26709
0.116	-0.0428516	0.26746
0.117	4.30072e-05	0.26746
0.118	-0.012119	0.26746
0.119	0.0452815	0.26746
0.12	0.098496	0.26746
0.121	-0.000343423	0.26746
0.122	-0.0973923	0.26746
0.123	-0.100085	0.26746
0.124	-0.0537315	0.26746
0.125	0.0532439	0.26746
0.126	0.139424	0.26746
0.127	0.1222	0.26746
0.128	0.0310579	0.26746
0.129	-0.0368276	0.26746
0.13	-0.148609	0.26746
0.131	-0.157908	0.26746
0.132	-0.0362891	0.26746
0.133	0.00900099	0.26746
0.134	0.0858905	0.26746
0.135	0.103401	0.26746
0.136	0.208431	0.26746
0.137	0.0751717	0.26746
0.138	-0.135289	0.26746
0.139	-0.201577	0.26746
0.14	-0.150365	0.26746
0.141	-0.0751764	0.26746
0.142	0.1376	0.26746
0.143	0.198876	0.26746
0.144	0.094143	0.26746
0.145	-0.037804	0.26746
0.146	-0.0662057	0.26746
0.147	-0.0632826	0.26746
0.148	-0.048263	0.26709
0.149	-0.0030214	0.26709
0.15	0.0133959	0.26746
0.151	0.0115548	0.26746
0.152	0.0121113	0.26746
0.153	0.0617564	0.26709
0.154	0.0377999	0.26709
0.155	-0.0183785	0.26746
0.156	-0.0471553	0.26709
0.157	-0.0366234	0.26709
0.158	-0.0541353	0.26746
0.159	-0.00142284	0.26709
0.16	0.0900701	0.26709
0.161	0.0404022	0.26746
0.162	-0.00615778	0.26746
0.163	-0.0329649	0.26746
0.164	-0.0139258	0.26746
0.165	0.0224976	0.26746
0.166	-0.0108974	0.26746
0.167	-0.0450112	0.26746
0.168	-0.0305168	0.26746
0.169	0.0390314	0.26746
0.17	0.0570331	0.26746
0.171	0.0417347	0.26746
0.172	-0.0132514	0.26746
0.173	-0.0475602	0.26746
0.174	-0.0815538	0.26746
0.175	0.00730213	0.26746
0.176	0.0719482	0.26746
0.177	0.0301769	0.26746
0.178	-0.0468423	0.26746
0.179	-0.0419357	0.26746
0.18	0.0170276	0.26746
0.181	0.135026	0.26746
0.182	0.021223	0.26746
0.183	-0.0825435	0.26746
0.184	-0.13217	0.26746
0.185	-0.08069	0.26746
0.186	0.0965964	0.26746
0.187	0.145531	0.26746
0.188	0.0360315	0.26746
0.189	-0.0579135	0.26746
0.19	-0.0610347	0.26746
0.191	-0.0188549	0.26746
0.192	0.0107119	0.26746
0.193	0.0377447	0.26746
0.194	0.0165202	0.26746
0.195	-0.0378984	0.26746
0.196	-0.00835009	0.26746
0.197	0.00317436	0.26746
0.198	-0.011716	0.26746
0.199	-0.0112903	0.26746
0.2	-0.00186048	0.26746
0.201	0.0504162	0.26746
0.202	0.0365685	0.26746
0.203	0.0240413	0.26746
0.204	0.0255575	0.26746
0.205	-0.093178	0.26746
0.206	-0.129456	0.26746
0.207	-0.0149696	0.26746
0.208	0.0718112	0.26746
0.209	0.0859019	0.26746
0.21	0.102706	0.26746
0.211	-0.0446252	0.26746
0.212	-0.0773239	0.26746
0.213	-0.0199778	0.26746
0.214	0.0169144	0.26746
0.215	0.00555631	0.26746
0.216	-0.0156749	0.26709
0.217	-0.0237632	0.26709
0.218	-0.0355783	0.26746
0.219	0.00933396	0.26709
0.22	0.0830858	0.26709
0.221	0.0644753	0.26746
0.222	0.0295731	0.26746
0.223	-0.0388509	0.26746
0.224	-0.11388	0.26746
0.225	-0.0851474	0.26709
0.226	0.00229312	0.26709
0.227	0.10105	0.26746
0.228	0.0446659	0.26746
0.229	0.0578211	0.26746
0.23	0.023286	0.26709
0.231	-0.0747855	0.26746
0.232	-0.0891421	0.26746
0.233	-0.0436068	0.26709
0.234	0.0346117	0.26746
0.235	0.0597728	0.26746
0.236	0.0706148	0.26746
0.237	0.0443214	0.26746
0.238	-0.0906397	0.26746
0.239	-0.0505533	0.26746
0.24	-0.0164008	0.26746
0.241	-6.21226e-05	0.26746
0.242	0.0356525	0.26746
0.243	0.0280879	0.26746
