Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0.048686
2.01	0.38492
2.02	0.125863
2.03	-0.0273291
2.04	-0.150985
2.05	-0.143401
2.06	-0.0119793
2.07	0.00881156
2.08	0.362282
2.09	0.410699
2.1	0.0659828
2.11	-0.239863
2.12	-0.515106
2.13	-0.359566
2.14	-0.21275
2.15	-0.107129
2.16	0.0328428
2.17	-0.0420726
2.18	0.0394344
2.19	-0.00527871
2.2	-0.0317026
2.21	0.0775275
2.22	0.00194062
2.23	0.08519
2.24	0.0747452
2.25	0.0823201
2.26	0.20001
2.27	0.132373
2.28	0.25258
2.29	0.26442
2.3	0.285199
2.31	0.411508
2.32	0.34917
2.33	0.435368
2.34	0.367907
2.35	0.285494
2.36	0.301199
2.37	0.115111
2.38	0.122843
2.39	0.0464092
2.4	-0.00961754
2.41	0.0609025
2.42	-0.0516389
2.43	0.0147976
2.44	-0.0378251
2.45	-0.0542106
2.46	0.0501898
2.47	-0.0774836
2.48	-0.0234537
2.49	-0.070116
2.5	-0.103396
2.51	-0.00600551
2.52	-0.101205
2.53	-0.00794142
2.54	-0.0344372
2.55	-0.0830279
2.56	-0.00856702
2.57	-0.104916
2.58	-0.0398693
2.59	-0.0728575
2.6	-0.116894
2.61	-0.0197218
2.62	-0.107651
2.63	-0.0352555
2.64	-0.0625011
2.65	-0.112092
2.66	-0.0599174
2.67	-0.167419
2.68	-0.0735881
2.69	-0.0897802
2.7	-0.127233
2.71	-0.024475
2.72	-0.0900319
2.73	0.0138879
2.74	0.0121486
2.75	-0.00644364
2.76	0.0925616
2.77	-0.00693853
2.78	0.0403275
2.79	-0.00581323
2.8	-0.0462814
2.81	0.00734559
2.82	-0.135792
2.83	-0.0604797
2.84	-0.0684763
2.85	-0.126424
2.86	-0.0555104
2.87	-0.139794
2.88	-0.000291331
2.89	0.0982104
2.9	0.283536
2.91	0.361263
2.92	-0.0740735
2.93	-0.337616
2.94	-0.486742
2.95	-0.4355
2.96	-0.181954
2.97	-0.162301
2.98	-0.024078
2.99	-0.0168915
3	-0.0496329
3.01	0.0553294
3.02	-0.0109476
3.03	0.097294
3.04	0.0788942
3.05	0.0460101
3.06	0.165758
3.07	0.107269
3.08	0.208228
3.09	0.221901
3.1	0.239186
3.11	0.37656
3.12	0.330958
3.13	0.447948
3.14	0.435915
3.15	0.370105
3.16	0.432082
3.17	0.289219
3.18	0.29652
3.19	0.196199
3.2	0.0678034
3.21	0.0830318
3.22	-0.0477972
3.23	0.0168577
3.24	-0.0104519
3.25	-0.0588787
3.26	0.0228931
3.27	-0.0916076
3.28	-0.0343003
3.29	-0.0487447
3.3	-0.0930852
3.31	-0.0111401
3.32	-0.101295
3.33	-0.0178378
3.34	-0.0412786
3.35	-0.0818742
3.36	0.00816663
3.37	-0.101909
3.38	-0.00737919
3.39	0.00948347
3.4	-0.0438845
3.41	0.0352897
3.42	-0.0646679
3.43	0.0113141
3.44	0.0106122
3.45	-0.034368
3.46	0.0475889
3.47	-0.0663062
3.48	-0.00183995
3.49	-0.0170662
3.5	-0.0680103
3.51	0.0163039
3.52	-0.0903806
3.53	-0.0206804
3.54	-0.0457913
3.55	-0.0855534
3.56	0.0433913
3.57	-0.0404429
3.58	0.0527618
3.59	0.0614451
3.6	-0.00551016
3.61	0.0652175
3.62	-0.0446418
3.63	0.0113711
3.64	-0.0310506
3.65	-0.101472
3.66	-0.00565121
3.67	-0.107814
3.68	-0.0468521
3.69	-0.0590149
3.7	-0.106562
3.71	0.00967457
3.72	-0.0360856
3.73	0.222752
3.74	0.373337
3.75	0.123217
3.76	-0.152839
3.77	-0.489005
3.78	-0.414209
3.79	-0.295537
3.8	-0.216781
3.81	-0.00734382
3.82	-0.0554902
3.83	0.00517903
3.84	-0.0151324
3.85	-0.0416274
3.86	0.0807247
3.87	-0.0128905
3.88	0.0681278
3.89	0.0733634
3.9	0.0313572
3.91	0.169675
3.92	0.128249
3.93	0.227567
3.94	0.253018
3.95	0.231538
3.96	0.34644
3.97	0.285713
3.98	0.376809
3.99	0.3459
4	0.236658
4.01	0.282442
4.02	0.117148
4.03	0.107842
4.04	0.048017
4.05	-0.0292386
4.06	0.0534285
4.07	-0.062846
4.08	-0.00911007
4.09	-0.0190137
4.1	-0.0792098
4.11	0.027201
4.12	-0.0596431
4.13	0.010511
4.14	0.00589897
4.15	-0.0463374
4.16	0.0505541
4.17	-0.0523355
4.18	-0.00130793
4.19	-0.0030487
4.2	-0.0502066
4.21	0.049506
4.22	-0.0534659
4.23	-0.00133061
4.24	-0.00419859
4.25	-0.0454181
4.26	0.0435334
4.27	-0.0581092
4.28	0.00310822
4.29	-0.00337904
4.3	-0.0684276
4.31	0.022568
4.32	-0.0610382
4.33	-0.0155268
4.34	-0.0354519
4.35	-0.0943724
4.36	0.0175679
4.37	-0.0726924
4.38	-0.00650602
4.39	0.00325647
4.4	-0.044728
4.41	0.0720279
4.42	0.0143874
4.43	0.0865584
4.44	0.082789
4.45	-0.00329218
4.46	0.0377366
4.47	-0.0957176
4.48	-0.035512
4.49	-0.0224008
