Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.00448209
2.01	-0.0754131
2.02	-0.10949
2.03	-0.11521
2.04	-0.0904349
2.05	-0.0871869
2.06	-0.0776687
2.07	-0.0502743
2.08	0.0452245
2.09	0.309934
2.1	0.339944
2.11	0.0754194
2.12	-0.18438
2.13	-0.313348
2.14	-0.268129
2.15	-0.164033
2.16	-0.0800578
2.17	-0.0334863
2.18	-0.0283932
2.19	-0.0100134
2.2	-0.00436007
2.21	0.00427686
2.22	0.0196653
2.23	0.0174803
2.24	0.0376875
2.25	0.0432596
2.26	0.0571505
2.27	0.081672
2.28	0.0970598
2.29	0.137515
2.3	0.164493
2.31	0.202632
2.32	0.247832
2.33	0.269466
2.34	0.303539
2.35	0.301683
2.36	0.277653
2.37	0.237215
2.38	0.160363
2.39	0.104949
2.4	0.0474398
2.41	0.00389012
2.42	-0.0167699
2.43	-0.0440722
2.44	-0.0460322
2.45	-0.0559041
2.46	-0.058313
2.47	-0.0507623
2.48	-0.0617828
2.49	-0.0507352
2.5	-0.0513753
2.51	-0.0521027
2.52	-0.0468786
2.53	-0.0546347
2.54	-0.0396639
2.55	-0.0446729
2.56	-0.0466478
2.57	-0.036934
2.58	-0.0470004
2.59	-0.0384396
2.6	-0.0452787
2.61	-0.0490523
2.62	-0.0408696
2.63	-0.0543658
2.64	-0.049477
2.65	-0.0549589
2.66	-0.0518922
2.67	-0.0466662
2.68	-0.062397
2.69	-0.0495249
2.7	-0.0512167
2.71	-0.0542498
2.72	-0.0495608
2.73	-0.0602898
2.74	-0.0491262
2.75	-0.0509964
2.76	-0.0387171
2.77	-0.0061972
2.78	0.00382417
2.79	0.0304765
2.8	0.0346565
2.81	0.0210408
2.82	0.00944851
2.83	-0.0190803
2.84	-0.027401
2.85	-0.0497078
2.86	-0.0675717
2.87	-0.0709126
2.88	-0.0909499
2.89	-0.0822234
2.9	-0.0844521
2.91	-0.0840252
2.92	-0.0702724
2.93	-0.0733603
2.94	-0.0410512
2.95	0.0822538
2.96	0.342812
2.97	0.35735
2.98	0.0452251
2.99	-0.233754
3	-0.336365
3.01	-0.269691
3.02	-0.141856
3.03	-0.0741477
3.04	-0.035318
3.05	-0.0281289
3.06	-0.0202328
3.07	-0.00211571
3.08	-0.0034716
3.09	0.0151256
3.1	0.0206137
3.11	0.0326029
3.12	0.0523505
3.13	0.0526635
3.14	0.081351
3.15	0.105959
3.16	0.138454
3.17	0.182896
3.18	0.20997
3.19	0.260138
3.2	0.29509
3.21	0.315979
3.22	0.322848
3.23	0.288801
3.24	0.249305
3.25	0.177809
3.26	0.108468
3.27	0.0590219
3.28	0.00451537
3.29	-0.0144328
3.3	-0.0352661
3.31	-0.0469813
3.32	-0.0438777
3.33	-0.0551632
3.34	-0.0454404
3.35	-0.0499174
3.36	-0.0547808
3.37	-0.044687
3.38	-0.0536167
3.39	-0.0436013
3.4	-0.0457189
3.41	-0.0438742
3.42	-0.0337713
3.43	-0.0467861
3.44	-0.0375248
3.45	-0.0399793
3.46	-0.0424448
3.47	-0.0348883
3.48	-0.0485877
3.49	-0.0408291
3.5	-0.0449009
3.51	-0.0519183
3.52	-0.0471195
3.53	-0.0546058
3.54	-0.0433972
3.55	-0.0505078
3.56	-0.0572903
3.57	-0.0486439
3.58	-0.0613511
3.59	-0.0489922
3.6	-0.0483404
3.61	-0.0559844
3.62	-0.0496038
3.63	-0.0600333
3.64	-0.0512511
3.65	-0.0573835
3.66	-0.0620547
3.67	-0.0475869
3.68	-0.0445308
3.69	-0.0168829
3.7	-0.00276878
3.71	0.0073874
3.72	0.0275688
3.73	0.0160748
3.74	0.0124154
3.75	-0.00882578
3.76	-0.0309634
3.77	-0.0453394
3.78	-0.0712421
3.79	-0.0747711
3.8	-0.0919419
3.81	-0.0951638
3.82	-0.0868936
3.83	-0.097531
3.84	-0.08206
3.85	-0.0817839
3.86	-0.0690257
3.87	-0.00339892
3.88	0.215129
3.89	0.399468
3.9	0.195406
3.91	-0.139245
3.92	-0.323382
3.93	-0.32282
3.94	-0.195417
3.95	-0.0985988
3.96	-0.0519446
3.97	-0.0299764
3.98	-0.0272742
3.99	-0.00316369
4	-0.00158347
4.01	0.00400534
4.02	0.019998
4.03	0.018774
4.04	0.0430132
4.05	0.0548251
4.06	0.0747029
4.07	0.106436
4.08	0.126609
4.09	0.173438
4.1	0.2062
4.11	0.247791
4.12	0.296303
4.13	0.318074
4.14	0.345355
4.15	0.33015
4.16	0.289001
4.17	0.230418
4.18	0.146706
4.19	0.0927642
4.2	0.03644
4.21	0.0036981
4.22	-0.00887775
4.23	-0.0347796
4.24	-0.0351523
4.25	-0.0446134
4.26	-0.0454548
4.27	-0.0359204
4.28	-0.048186
4.29	-0.0399467
4.3	-0.0442695
4.31	-0.0434772
4.32	-0.0365574
4.33	-0.048443
4.34	-0.0330778
4.35	-0.0324717
4.36	-0.0340686
4.37	-0.0273486
4.38	-0.0375112
4.39	-0.031648
4.4	-0.0406592
4.41	-0.0425795
4.42	-0.0348051
4.43	-0.0455365
4.44	-0.0364931
