Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0.00830775
2.01	0.166841
2.02	0.266263
2.03	0.288358
2.04	0.253262
2.05	0.245199
2.06	0.20506
2.07	0.154118
2.08	0.105427
2.09	0.0283045
2.1	0.0475864
2.11	0.035344
2.12	0.0190509
2.13	0.0252456
2.14	-0.0221305
2.15	0.025485
2.16	0.0309138
2.17	0.0266914
2.18	0.0402003
2.19	-0.0170693
2.2	0.0182807
2.21	0.0482128
2.22	0.0360432
2.23	0.0322115
2.24	0.0122154
2.25	0.0451454
2.26	0.0361685
2.27	0.0114505
2.28	0.0137929
2.29	0.0091919
2.3	0.0278813
2.31	0.0343659
2.32	0.018451
2.33	0.00161267
2.34	-0.00659981
2.35	0.0215555
2.36	0.016708
2.37	-0.00443858
2.38	0.0132112
2.39	0.00952904
2.4	0.00993467
2.41	-0.0302096
2.42	-0.0112888
2.43	0.0215304
2.44	0.0217552
2.45	0.0461773
2.46	0.0462583
2.47	0.0479474
2.48	0.0759556
2.49	0.0910252
2.5	0.122636
2.51	0.0768136
2.52	0.0215408
2.53	0.0248134
2.54	-0.0115827
2.55	-0.00319351
2.56	-0.0117769
2.57	-0.0271683
2.58	-0.014709
2.59	-0.0414744
2.6	-0.00375811
2.61	0.0320782
2.62	0.0286803
2.63	0.115322
2.64	0.307346
2.65	0.344787
2.66	0.0873554
2.67	-0.184061
2.68	-0.264905
2.69	-0.230404
2.7	-0.0893433
2.71	0.0210977
2.72	0.0805166
2.73	0.123236
2.74	0.0785626
2.75	0.0817796
2.76	0.0817704
2.77	0.087516
2.78	0.120819
2.79	0.112623
2.8	0.102566
2.81	0.0920053
2.82	0.110212
2.83	0.155692
2.84	0.15335
2.85	0.203949
2.86	0.229356
2.87	0.207698
2.88	0.211673
2.89	0.183884
2.9	0.173509
2.91	0.142781
2.92	0.118755
2.93	0.100359
2.94	0.0249184
2.95	0.00792043
2.96	-0.00934001
2.97	-0.0161445
2.98	0.00763173
2.99	-0.0129628
3	0.00878296
3.01	-0.00407214
3.02	-0.0265589
3.03	-0.0106721
3.04	-0.0210966
3.05	-0.0142971
3.06	-0.0347897
3.07	-0.057587
3.08	-0.0266846
3.09	-0.0501106
3.1	-0.050543
3.11	-0.0600852
3.12	-0.0432709
3.13	-0.0213673
3.14	-0.068934
3.15	-0.0736471
3.16	-0.0796895
3.17	-0.0779172
3.18	-0.0615223
3.19	-0.0814833
3.2	-0.0698198
3.21	-0.0823017
3.22	-0.0775427
3.23	-0.0439361
3.24	-0.0754222
3.25	-0.0894848
3.26	-0.0872983
3.27	-0.0741493
3.28	-0.0686515
3.29	-0.072164
3.3	-0.0086671
3.31	0.0170023
3.32	0.0460611
3.33	0.0888561
3.34	0.0508706
3.35	0.00831772
3.36	0.00534439
3.37	-0.00242646
3.38	8.98921e-05
3.39	-0.0406027
3.4	-0.0558348
3.41	-0.0767891
3.42	-0.11392
3.43	-0.0787706
3.44	-0.0560819
3.45	-0.0340099
3.46	-0.00291393
3.47	0.161226
3.48	0.334058
3.49	0.150672
3.5	-0.164414
3.51	-0.370841
3.52	-0.370462
3.53	-0.209437
3.54	-0.107706
3.55	-0.0286074
3.56	0.00461122
3.57	0.00322487
3.58	0.0417323
3.59	0.0424401
3.6	0.0458644
3.61	0.040385
3.62	0.0297396
3.63	0.050001
3.64	0.0201526
3.65	0.00887482
3.66	0.0139679
3.67	0.0605292
3.68	0.122648
3.69	0.100988
3.7	0.100718
3.71	0.130444
3.72	0.117131
3.73	0.125522
3.74	0.102319
3.75	0.0954523
3.76	0.0517856
3.77	0.00205041
3.78	0.00549618
3.79	-0.0307712
3.8	-0.0476614
3.81	-0.0339091
3.82	-0.0181472
3.83	0.00950208
3.84	-0.0196403
3.85	-0.0148888
3.86	-0.00608173
3.87	-0.0285571
3.88	-0.020903
3.89	-0.000332628
3.9	0.0269168
3.91	0.00824437
3.92	-0.00269565
3.93	0.0283971
3.94	-0.0023918
3.95	-0.0264289
3.96	-0.0247869
3.97	-0.00141703
3.98	0.0388622
3.99	0.0274351
4	0.0236993
4.01	-0.0026178
4.02	-0.0405902
4.03	-0.013502
4.04	-0.00535896
4.05	0.0287
4.06	0.036527
4.07	0.00473467
4.08	-0.00339762
4.09	-0.0623047
4.1	-0.048549
4.11	-0.00255881
4.12	0.00532088
4.13	0.0226347
4.14	0.00277713
4.15	0.000658239
4.16	-0.00214311
4.17	0.00676377
4.18	0.077635
4.19	0.0958521
4.2	0.0921836
4.21	0.0529295
4.22	0.00171687
4.23	5.15931e-06
4.24	-0.0358595
4.25	-0.0390429
4.26	-0.052568
4.27	-0.0747839
4.28	-0.0489162
4.29	-0.0725535
4.3	-0.0831324
4.31	-0.0882899
4.32	-0.0438248
4.33	0.136195
4.34	0.283743
4.35	0.160217
4.36	-0.161591
4.37	-0.409342
4.38	-0.398426
4.39	-0.288994
4.4	-0.139375
4.41	-0.061842
4.42	-0.0605634
4.43	-0.0530817
4.44	-0.0625593
4.45	-0.025495
4.46	0.00797537
4.47	0.0182795
4.48	0.0333874
4.49	0.000377722
